ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2
P001,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P002,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,110,154,0,4400
P003,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,150,210,0,6000
P004,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,200,280,0,8000
P005,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,70,98,0,2800
P006,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P007,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P008,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,120,168,0,4800
P009,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,110,154,0,4400
P010,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,60,84,0,2400
P011,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P012,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,60,84,0,2400
P013,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P014,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,125,175,0,5000
P015,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,70,98,0,2800
P016,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,120,168,0,4800
P017,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,80,112,0,3200
P018,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,170,238,0,6800
P019,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,100,140,0,4000
P020,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,60,84,0,60,84,0,60,84,0,7200
P021,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P022,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P023,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,20,24,0,20,24,0,30,36,0,2800
P024,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,0,0,0,4000
P025,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,80,96,0,80,96,0,0,0,0,6400
P026,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,150,180,0,10000
P027,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,150,180,0,150,180,0,0,0,0,12000
P028,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,90,108,0,90,108,0,0,0,0,7200
P029,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,20,24,0,20,24,0,0,0,0,1600
P030,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,0,0,0,4000
P031,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,100,120,0,100,120,0,0,0,0,8000
P032,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,40,48,0,40,48,0,0,0,0,3200
P033,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,0,0,0,4000
P034,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,190,228,0,190,228,0,0,0,0,15200
P035,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,60,72,0,60,72,0,0,0,0,4800
P036,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,20,24,0,20,24,0,0,0,0,1600
P037,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,125,150,0,125,150,0,0,0,0,10000
P038,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,0,0,0,4000
P039,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,30,36,0,30,36,0,0,0,0,2400
P040,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,40,48,0,40,48,0,0,0,0,3200
P041,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,40,48,0,40,48,0,0,0,0,3200
P042,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,70,84,0,70,84,0,0,0,0,5600
P043,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,0,0,0,4000
P044,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,160,224,0,160,224,0,160,224,0,19200
P045,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,100,140,0,100,140,0,100,140,0,12000
P046,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P047,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,100,140,0,100,140,0,100,140,0,12000
P048,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P049,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,40,56,0,40,56,0,40,56,0,4800
P050,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,80,112,0,80,112,0,80,112,0,9600
P051,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,150,210,0,150,210,0,150,210,0,18000
P052,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P053,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,80,112,0,80,112,0,80,112,0,9600
P054,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,165,231,0,165,231,0,165,231,0,19800
P055,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,20,28,0,20,28,0,20,28,0,2400
P056,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,60,84,0,60,84,0,60,84,0,7200
P057,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,70,98,0,70,98,0,70,98,0,8400
P058,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,160,224,0,160,224,0,160,224,0,19200
P059,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,90,126,0,90,126,0,90,126,0,10800
P060,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,40,56,0,40,56,0,40,56,0,4800
P061,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,60,84,0,60,84,0,60,84,0,7200
P062,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,60,84,0,60,84,0,60,84,0,7200
P063,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,40,56,0,40,56,0,40,56,0,4800
P064,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,30,42,0,30,42,0,30,42,0,3600
P065,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P066,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,165,231,0,165,231,0,165,231,0,19800
P067,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,60,84,0,60,84,0,60,84,0,7200
P068,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P069,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,80,112,0,80,112,0,80,112,0,9600
P070,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P071,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,150,210,0,150,210,0,150,210,0,18000
P072,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P073,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P074,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P075,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,80,112,0,80,112,0,80,112,0,9600
P076,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,30,42,0,30,42,0,30,42,0,3600
P077,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000
P078,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,100,140,0,4000
P079,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,40,56,0,1600
P080,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,100,140,0,4000
P081,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,60,84,0,2400
P082,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,30,42,0,1200
P083,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,60,84,0,2400
P084,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,200,280,0,8000
P085,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,40,56,0,1600
P086,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,60,84,0,2400
P087,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,200,280,0,8000
P088,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0,0,0,0,0,0,30,42,0,1200
