ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2,Total_Urea,Total_NPK,Total_Organik,Total_Pupuk,Luas_Tanah_ha,Status_Urea,Status_NPK,Status_Organik,Jatah_Urea_Min,Jatah_Urea_Max,Jatah_NPK_Min,Jatah_NPK_Max,Jatah_Organik_Min,Jatah_Organik_Max,Final_Status
P001,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,50,70,0,50,70,0,50,70,0,6000,150,210,0,360,0.6,Normal,Normal,Normal,0.0,150.0,0.0,210.0,0.0,600.0,Normal
P002,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,110,154,0,4400,110,154,0,264,0.44,Normal,Normal,Normal,0.0,110.0,0.0,154.0,0.0,440.0,Normal
P003,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,150,210,0,6000,150,210,0,360,0.6,Normal,Normal,Normal,0.0,150.0,0.0,210.0,0.0,600.0,Normal
P004,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,200,280,0,8000,200,280,0,480,0.8,Normal,Normal,Normal,0.0,200.0,0.0,280.0,0.0,800.0,Normal
P005,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,70,98,0,2800,70,98,0,168,0.28,Normal,Normal,Normal,0.0,70.0,0.0,98.00000000000001,0.0,280.0,Normal
P006,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000,50,70,0,120,0.2,Normal,Normal,Normal,0.0,50.0,0.0,70.0,0.0,200.0,Normal
P007,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000,50,70,0,120,0.2,Normal,Normal,Normal,0.0,50.0,0.0,70.0,0.0,200.0,Normal
P008,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,120,168,0,4800,120,168,0,288,0.48,Normal,Normal,Normal,0.0,120.0,0.0,168.0,0.0,480.0,Normal
P009,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,110,154,0,4400,110,154,0,264,0.44,Normal,Normal,Normal,0.0,110.0,0.0,154.0,0.0,440.0,Normal
P010,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,60,84,0,2400,60,84,0,144,0.24,Normal,Normal,Normal,0.0,60.0,0.0,84.0,0.0,240.0,Normal
P011,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000,50,70,0,120,0.2,Normal,Normal,Normal,0.0,50.0,0.0,70.0,0.0,200.0,Normal
P012,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,60,84,0,2400,60,84,0,144,0.24,Normal,Normal,Normal,0.0,60.0,0.0,84.0,0.0,240.0,Normal
P013,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000,50,70,0,120,0.2,Normal,Normal,Normal,0.0,50.0,0.0,70.0,0.0,200.0,Normal
P014,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,125,175,0,5000,125,175,0,300,0.5,Normal,Normal,Normal,0.0,125.0,0.0,175.0,0.0,500.0,Normal
P015,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,70,98,0,2800,70,98,0,168,0.28,Normal,Normal,Normal,0.0,70.0,0.0,98.00000000000001,0.0,280.0,Normal
P016,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,120,168,0,4800,120,168,0,288,0.48,Normal,Normal,Normal,0.0,120.0,0.0,168.0,0.0,480.0,Normal
P017,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,80,112,0,3200,80,112,0,192,0.32,Normal,Normal,Normal,0.0,80.0,0.0,112.0,0.0,320.0,Normal
P018,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,170,238,0,6800,170,238,0,408,0.68,Normal,Normal,Normal,0.0,170.0,0.0,238.00000000000003,0.0,680.0,Normal
P019,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,100,140,0,4000,100,140,0,240,0.4,Normal,Normal,Normal,0.0,100.0,0.0,140.0,0.0,400.0,Normal
P020,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,60,84,0,60,84,0,60,84,0,7200,180,252,0,432,0.72,Normal,Normal,Normal,0.0,180.0,0.0,252.0,0.0,720.0,Normal
P021,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,50,70,0,50,70,0,50,70,0,6000,150,210,0,360,0.6,Normal,Normal,Normal,0.0,150.0,0.0,210.0,0.0,600.0,Normal
P022,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000,50,70,0,120,0.2,Normal,Normal,Normal,0.0,50.0,0.0,70.0,0.0,200.0,Normal
P023,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,20,24,0,20,24,0,30,36,0,2800,70,84,0,154,0.28,Normal,Normal,Normal,0.0,70.0,0.0,84.00000000000001,0.0,280.0,Normal
P024,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,0,0,0,4000,100,120,0,220,0.4,Normal,Normal,Normal,0.0,100.0,0.0,120.0,0.0,400.0,Normal
P025,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,80,96,0,80,96,0,0,0,0,6400,160,192,0,352,0.64,Normal,Normal,Normal,0.0,160.0,0.0,192.0,0.0,640.0,Normal
P026,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,150,180,0,10000,250,300,0,550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P027,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,150,180,0,150,180,0,0,0,0,12000,300,360,0,660,1.2,Normal,Normal,Normal,0.0,300.0,0.0,360.0,0.0,1200.0,Normal
P028,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,90,108,0,90,108,0,0,0,0,7200,180,216,0,396,0.72,Normal,Normal,Normal,0.0,180.0,0.0,216.0,0.0,720.0,Normal
