ID_Petani,Desa,Kelompok_Tani,Komoditas,Luas_Tanah_m2,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_ha,Urea_MT1_per_ha,Urea_MT2_per_ha,Urea_MT3_per_ha,NPK_MT1_per_ha,NPK_MT2_per_ha,NPK_MT3_per_ha,Organik_MT1_per_ha,Organik_MT2_per_ha,Organik_MT3_per_ha,Total_MT1,Total_MT2,Total_MT3,prop_Urea_MT1,prop_NPK_MT1,prop_Organik_MT1,prop_Urea_MT2,prop_NPK_MT2,prop_Organik_MT2,prop_Urea_MT3,prop_NPK_MT3,prop_Organik_MT3,delta_Urea_MT2_MT1,delta_Urea_MT3_MT2,delta_NPK_MT2_MT1,delta_NPK_MT3_MT2,delta_Organik_MT2_MT1,delta_Organik_MT3_MT2,Urea_avg,Urea_std,NPK_avg,NPK_std,Organik_avg,Organik_std,zscore_Urea_MT1,zscore_Urea_MT2,zscore_Urea_MT3,zscore_NPK_MT1,zscore_NPK_MT2,zscore_NPK_MT3,zscore_Organik_MT1,zscore_Organik_MT2,zscore_Organik_MT3,IQR_Label_MT1,IQR_Bounds_MT1,IQR_Label_MT2,IQR_Bounds_MT2,IQR_Label_MT3,IQR_Bounds_MT3,dev_Urea_MT1,dev_pct_Urea_MT1,dev_NPK_MT1,dev_pct_NPK_MT1,dev_Organik_MT1,dev_pct_Organik_MT1,dev_Urea_MT2,dev_pct_Urea_MT2,dev_NPK_MT2,dev_pct_NPK_MT2,dev_Organik_MT2,dev_pct_Organik_MT2,dev_Urea_MT3,dev_pct_Urea_MT3,dev_NPK_MT3,dev_pct_NPK_MT3,dev_Organik_MT3,dev_pct_Organik_MT3,Total_Pupuk_Semua_MT,Total_Pupuk_per_ha,Anomaly_Prediction,Anomaly_Label,Anomaly_Score,Anomaly_Severity,Cluster,Cluster_Label
P001,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,6000,50.0,70.0,0.0,50.0,70.0,125.0,50.0,70.0,0.0,0.6,83.33333333333334,83.33333333333334,83.33333333333334,116.66666666666667,116.66666666666667,116.66666666666667,0.0,208.33333333333334,0.0,120.0,245.0,120.0,0.4166666666666667,0.5833333333333334,0.0,0.20408163265306123,0.2857142857142857,0.5102040816326531,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,125.0,-125.0,50.0,0.0,70.0,0.0,41.666666666666664,72.16878364870323,-0.8359782189337168,-1.0685426543978662,-1.9608852900055231,-0.8740056777846659,-1.1056984628301916,-1.9611198737184854,0.0,0.0,0.0,Under,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],-10.0,-16.666666666666664,-14.0,-16.666666666666664,0.0,0.0,-75.0,-60.0,-105.0,-60.0,0.0,0.0,-75.0,-60.0,-105.0,-60.0,0.0,0.0,-172.33333333333337,-287.2222222222223,1,Normal,0.5770566466527651,Anomali Ringan,1,Cluster 1
P002,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,4400,60.0,84.0,0.0,125.0,175.0,125.0,110.0,154.0,0.0,0.44,136.36363636363637,284.09090909090907,250.0,190.9090909090909,397.72727272727275,350.0,0.0,284.09090909090907,0.0,144.0,425.0,264.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-15.0,91.0,-21.0,125.0,-125.0,98.33333333333333,34.03429642777023,137.66666666666666,47.648014998878324,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-0.3467647998703774,-0.09640370030838333,0.21562612551301794,-0.3468528825671512,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-12.0,-21.0,-12.0,0.0,0.0,773.0,1756.8181818181818,1,Normal,0.10728365949997831,Normal,1,Cluster 1
P003,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,6000,60.0,84.0,0.0,125.0,175.0,125.0,150.0,210.0,0.0,0.6,100.0,208.33333333333334,250.0,140.0,291.6666666666667,350.0,0.0,208.33333333333334,0.0,144.0,425.0,360.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,25.0,91.0,35.0,125.0,-125.0,111.66666666666667,46.45786621588785,156.33333333333334,65.04101270224298,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,0.7293155268863865,-0.09640370030838333,0.21562612551301794,0.7293251115337382,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Over,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,35.0,20.0,0.0,0.0,1029.0,1715.0,1,Normal,0.14611472930272296,Normal,1,Cluster 1
P004,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,8000,60.0,84.0,0.0,125.0,175.0,125.0,200.0,280.0,0.0,0.8,75.0,156.25,250.0,105.0,218.75,350.0,0.0,156.25,0.0,144.0,425.0,480.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,75.0,91.0,105.0,125.0,-125.0,128.33333333333334,70.05949852327902,179.66666666666666,98.0832979325906,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,2.0744159353323415,-0.09640370030838333,0.21562612551301794,2.07454760415985,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Over,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,105.0,60.0,0.0,0.0,1349.0,1686.25,1,Normal,0.3965264471103227,Anomali Ringan,1,Cluster 1
P005,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,2800,60.0,84.0,0.0,125.0,175.0,125.0,70.0,98.0,0.0,0.28,214.28571428571428,446.4285714285714,249.99999999999997,299.99999999999994,624.9999999999999,349.99999999999994,0.0,446.4285714285714,0.0,144.0,425.0,168.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-55.0,91.0,-77.0,125.0,-125.0,85.0,35.0,119.0,49.0,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.4228451266271414,-0.09640370030838333,0.21562612551301794,-1.4230308766680406,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,-44.0,-77.0,-44.0,0.0,0.0,517.0,1846.4285714285713,1,Normal,0.2589447073713439,Normal,0,Cluster 0
P006,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,2000,60.0,84.0,0.0,125.0,175.0,125.0,50.0,70.0,0.0,0.2,300.0,625.0,250.0,420.0,875.0,350.0,0.0,625.0,0.0,144.0,425.0,120.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-75.0,91.0,-105.0,125.0,-125.0,78.33333333333333,40.72263907623539,109.66666666666667,57.01169470672954,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.9608852900055231,-0.09640370030838333,0.21562612551301794,-1.9611198737184854,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-60.0,-105.0,-60.0,0.0,0.0,389.0,1945.0,1,Normal,0.2937846513968103,Normal,0,Cluster 0
P007,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,2000,60.0,84.0,0.0,125.0,175.0,125.0,50.0,70.0,0.0,0.2,300.0,625.0,250.0,420.0,875.0,350.0,0.0,625.0,0.0,144.0,425.0,120.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-75.0,91.0,-105.0,125.0,-125.0,78.33333333333333,40.72263907623539,109.66666666666667,57.01169470672954,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.9608852900055231,-0.09640370030838333,0.21562612551301794,-1.9611198737184854,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-60.0,-105.0,-60.0,0.0,0.0,389.0,1945.0,1,Normal,0.2937846513968103,Normal,0,Cluster 0
P008,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,4800,60.0,84.0,0.0,125.0,175.0,125.0,120.0,168.0,0.0,0.48,125.0,260.4166666666667,250.0,175.0,364.58333333333337,350.0,0.0,260.4166666666667,0.0,144.0,425.0,288.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-5.0,91.0,-7.0,125.0,-125.0,101.66666666666667,36.17089069035117,142.33333333333334,50.63924696649164,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-0.07774471818118642,-0.09640370030838333,0.21562612551301794,-0.07780838404192882,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-4.0,-7.0,-4.0,0.0,0.0,837.0,1743.75,1,Normal,0.04404211860829921,Normal,1,Cluster 1
P009,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,4400,60.0,84.0,0.0,125.0,175.0,125.0,110.0,154.0,0.0,0.44,136.36363636363637,284.09090909090907,250.0,190.9090909090909,397.72727272727275,350.0,0.0,284.09090909090907,0.0,144.0,425.0,264.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-15.0,91.0,-21.0,125.0,-125.0,98.33333333333333,34.03429642777023,137.66666666666666,47.648014998878324,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-0.3467647998703774,-0.09640370030838333,0.21562612551301794,-0.3468528825671512,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-12.0,-21.0,-12.0,0.0,0.0,773.0,1756.8181818181818,1,Normal,0.10728365949997831,Normal,1,Cluster 1
P010,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,2400,60.0,84.0,0.0,125.0,175.0,125.0,60.0,84.0,0.0,0.24,250.0,520.8333333333334,250.0,350.0,729.1666666666667,350.0,0.0,520.8333333333334,0.0,144.0,425.0,144.0,0.4166666666666667,0.5833333333333334,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.4166666666666667,0.5833333333333334,0.0,65.0,-65.0,91.0,-91.0,125.0,-125.0,81.66666666666667,37.52776749732568,114.33333333333333,52.53887449625594,41.666666666666664,72.16878364870323,-0.09784549995733421,0.23785150511427816,-1.6918652083163321,-0.09640370030838333,0.21562612551301794,-1.692075375193263,0.0,0.0,0.0,Normal,[144.0-144.0],Normal,[47.5-651.5],Under,[300.0-300.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,-52.0,-91.0,-52.0,0.0,0.0,453.0,1887.5,1,Normal,0.27077248562501366,Normal,0,Cluster 0
