ID_Petani,Desa,Kelompok_Tani,Komoditas,Luas_Tanah_ha,Final_Status,Prioritas,Rekomendasi,Action_Plan
P001,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P002,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.44,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P003,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P004,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.8,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P005,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.28,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P006,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P007,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P008,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.48,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P009,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.44,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P010,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.24,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P011,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P012,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.24,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P013,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P014,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.5,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P015,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.28,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P016,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.48,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P017,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.32,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P018,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.68,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P019,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.4,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P020,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.72,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P021,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P022,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P023,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.28,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P024,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.4,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P025,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.64,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P026,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,1.0,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P027,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,1.2,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P028,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.72,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P029,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.16,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P030,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.4,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P031,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.8,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P032,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P033,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.4,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P034,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,1.52,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P035,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.48,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P036,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.16,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P037,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,1.0,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P038,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.4,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P039,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.24,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
